Untitled spreadsheet - Sheet1
Agency,Description,Uploaded on,Saved
ENVIRONMENTAL PROTECTION AGENCY,"DIVERSITY, EQUITY, INCLUSIO...",1/24/2025,"$15,000,000.00"
ENVIRONMENTAL PROTECTION AGENCY,TO PURCHASE A TWO YEAR SUBS...,2/7/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,POLITICO PRO PLUS/PRO ANALY...,2/10/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,E&E NEWS 12 MONTH BASE PERI...,2/10/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,CONSULTING SERVICES TO DEVE...,1/24/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,"20, ONE-YEAR E&E PUBLISHING...",2/13/2025,"$191,199.00"
ENVIRONMENTAL PROTECTION AGENCY,SUBSCRIPTION TO E&E NEWS (P...,2/13/2025,"$36,465.00"
ENVIRONMENTAL PROTECTION AGENCY,THIS IS A FIRM FIXED PRICE ...,2/13/2025,"$55,610.00"
ENVIRONMENTAL PROTECTION AGENCY,AWARD 30 USER SEAT LICENSE ...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,POLITICO PRO PLUS ONE YEAR ...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,TWELVE (12) MONTH SUBSCRIPT...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,E&E NEWS ELECTRONIC SUBSCRI...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,SUBSCRIPTION FOR DAILY COMP...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,THE PURPOSE OF THIS REQUIRE...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,"E&E NEWS, PURCHASE ONE-YEAR...",2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,E&E NEWS SUBSCRIPTION SERVICES,2/13/2025,"$232,786.00"
ENVIRONMENTAL PROTECTION AGENCY,TO SECURE 70 USERS SLOTS FO...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,SEE FPDS,2/13/2025,SEE FPDS
ENVIRONMENTAL PROTECTION AGENCY,8 LICENSES/SUBSCRIPTIONS OF...,2/13/2025,"$41,155.00"
ENVIRONMENTAL PROTECTION AGENCY,TO PROCURE A 1-YEAR ONLINE ...,2/13/2025,$0.00
ENVIRONMENTAL PROTECTION AGENCY,POLITICO PRO RENEWAL FY2025...,2/13/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,POLITICO PRO SUBSCRIPTION,2/7/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,POLITICO PRO PREMIUM SUBSCR...,2/7/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,SEE FPDS,2/7/2025,SEE FPDS
EXECUTIVE OFFICE OF THE PRESIDENT,POLITICO PRO SUBSCRIPTION S...,2/10/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,SUBSCRIPTION,2/10/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,SUBSCRIPTIONS,2/10/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,POLITICO PRO,2/10/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,POLITICO PRO PLUS,2/10/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,POLITICO PRO PLUS,2/10/2025,$0.00
EXECUTIVE OFFICE OF THE PRESIDENT,SUBSCRIPTION,2/11/2025,"$2,000,000.00"
EXECUTIVE OFFICE OF THE PRESIDENT,THE PURPOSE OF THIS DELIVER...,2/10/2025,"$196,795.00"
EXPORT-IMPORT BANK OF THE US,ONLINE SUBSCRIPTION FOR POL...,2/10/2025,"$151,230.00"
FEDERAL COMMUNICATIONS COMMISSION,POLITICO PRO PLUS,2/13/2025,$0.00
FEDERAL MEDIATION AND CONCILIATION SERVICE,EEO DEIA SUPPORT,2/13/2025,"$145,000.00"
FEDERAL MEDIATION AND CONCILIATION SERVICE,INTERNAL CONTROLS CONTRACTOR,2/13/2025,"$73,743.00"
FEDERAL MEDIATION AND CONCILIATION SERVICE,ERM SUPPORT SERVICES,2/13/2025,$0.00
FEDERAL MEDIATION AND CONCILIATION SERVICE,RECORDS MANAGEMENT SUPPORT ...,2/13/2025,$0.00
FEDERAL MEDIATION AND CONCILIATION SERVICE,CRM IMPLEMENTATION,2/13/2025,"$590,329.00"
GENERAL SERVICES ADMINISTRATION,ONLINE RECRUITING SERVICES,1/23/2025,"$1,654,052.00"
GENERAL SERVICES ADMINISTRATION,THE PURPOSE OF THIS TASK OR...,2/3/2025,$0.00
GENERAL SERVICES ADMINISTRATION,PSHC - INSTRUCTIONAL DESIGN...,2/3/2025,"$401,630.00"
GENERAL SERVICES ADMINISTRATION,GINNIE MAE SECURITIZED TRAN...,2/12/2025,"$20,846,321.00"
GENERAL SERVICES ADMINISTRATION,BLOOMBERG ANYWHERE SUBSCRIP...,2/12/2025,$0.00
GENERAL SERVICES ADMINISTRATION,SUPPORT FOR THE ADMINISTRAT...,1/23/2025,"$3,028,077.00"
GENERAL SERVICES ADMINISTRATION,DEIA TRAINING,1/23/2025,$0.00
GENERAL SERVICES ADMINISTRATION,OTHER THAN SCHEDULE,1/31/2025,"$3,109,145.00"
GENERAL SERVICES ADMINISTRATION,GOVERNMENT WIDE CATEGORY MA...,1/31/2025,"$6,863,606.00"
GENERAL SERVICES ADMINISTRATION,FEDERAL SUPPLY SCHEDULE CON...,1/31/2025,"$11,864,766.00"
GENERAL SERVICES ADMINISTRATION,ORDER FOR JOINT PRODUCT TEA...,1/31/2025,$0.00
GENERAL SERVICES ADMINISTRATION,RESEARCH MEMBERSHIPS & CONS...,2/3/2025,"$11,100,135.00"
GENERAL SERVICES ADMINISTRATION,FACILIATATION CONSULTING AN...,2/3/2025,"$168,004.00"
GENERAL SERVICES ADMINISTRATION,THE SCOPE OF THIS TO IS TO ...,2/3/2025,"$36,850,645.00"
GENERAL SERVICES ADMINISTRATION,BASE YEAR SERVICE,2/3/2025,"$566,173.00"
GENERAL SERVICES ADMINISTRATION,ACQUISITION SUPPORT FOR QMA,2/3/2025,"$215,016.00"
GENERAL SERVICES ADMINISTRATION,FACILITATION AND CONSULTATI...,,"$1,970.00"
GENERAL SERVICES ADMINISTRATION,"ZERO TRUST TRAINING, CERTIF...",2/3/2025,"$426,916.00"
GENERAL SERVICES ADMINISTRATION,ITC SME PMO SUPPORT,2/3/2025,$0.00
GENERAL SERVICES ADMINISTRATION,THE PURPOSE OF THIS TASK OR...,2/3/2025,$0.00
GENERAL SERVICES ADMINISTRATION,THE CONTRACTOR SHALL SUPPOR...,2/3/2025,"$22,139.00"
GENERAL SERVICES ADMINISTRATION,EXECUTIVE COACHING AND FACI...,2/3/2025,"$7,154.00"
GENERAL SERVICES ADMINISTRATION,USAGOV REIMAGINED TOTAL OR...,2/3/2025,$0.00
GENERAL SERVICES ADMINISTRATION,DIGITALGOV PROGRAM MANAGEME...,2/3/2025,"$4,293,629.00"
GENERAL SERVICES ADMINISTRATION,FAS 360 DEVELOPMENT PROGRAM...,2/3/2025,"$157,057.00"
GENERAL SERVICES ADMINISTRATION,ARP NATIONAL EVALUATION,2/3/2025,$0.00
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0012 ACCELERATO...,2/4/2025,"$151,384.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0006 FEDRAMP PMO...,2/4/2025,"$1,914,511.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0014 PLATFORMS A...,2/4/2025,"$1,136,165.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0010 STRATEGIC ...,2/4/2025,"$871,866.00"
GENERAL SERVICES ADMINISTRATION,AMERICAN RESCUE PLAN ARP PR...,2/4/2025,"$401,068.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0011 SOLUTIONS A...,2/4/2025,"$337,154.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0007 FRONT OFFI...,2/4/2025,"$2,698,057.00"
GENERAL SERVICES ADMINISTRATION,PARTNERSHIPS PROGRAM ANALYST,2/4/2025,"$146,957.00"
GENERAL SERVICES ADMINISTRATION,E&E NEWS,2/5/2025,"$181,500.00"
GENERAL SERVICES ADMINISTRATION,SEE FPDS,2/5/2025,SEE FPDS
GENERAL SERVICES ADMINISTRATION,COE STRATEGIC SUPPORT,2/5/2025,"$1,881,229.00"
GENERAL SERVICES ADMINISTRATION,USDCPIF SUPPORT SERVICES TO...,2/5/2025,"$1,570,603.00"
GENERAL SERVICES ADMINISTRATION,MARKET DEVELOPMENT MD SUPPO...,2/5/2025,"$1,197,139.00"
GENERAL SERVICES ADMINISTRATION,LOGIN INFRASTRUCTURE,2/5/2025,"$844,600.00"
GENERAL SERVICES ADMINISTRATION,TTS-WIDE USERTESTING LICENS...,2/5/2025,"$1,088,224.00"
GENERAL SERVICES ADMINISTRATION,WORKFORCE TRANSFORMATION PM...,2/5/2025,"$38,675,183.00"
GENERAL SERVICES ADMINISTRATION,SEE FPDS,2/5/2025,SEE FPDS
GENERAL SERVICES ADMINISTRATION,10X PROGRAM AND PROJECT MAN...,2/6/2025,"$2,852,110.00"
GENERAL SERVICES ADMINISTRATION,OPEN INNOVATION PMO SUPPORT,2/6/2025,"$800,925.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0013 ARP DELIVE...,2/6/2025,"$608,063.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0008 TTS OUTREA...,2/6/2025,"$216,596.00"
GENERAL SERVICES ADMINISTRATION,CALL ORDER 0015 OROS STRATE...,2/6/2025,"$11,500.00"
GENERAL SERVICES ADMINISTRATION,CIVIC DIGITAL FELLOWS SUMME...,2/6/2025,"$557,821.00"
GENERAL SERVICES ADMINISTRATION,"EO14042: 47PA0021F0001, GRA...",2/7/2025,"$352,687.00"
GENERAL SERVICES ADMINISTRATION,PROGRAM SUPPORT FOR THE GRE...,2/7/2025,"$2,664,279.00"
GENERAL SERVICES ADMINISTRATION,USAGOV COMPLEX FINANCIAL SP...,2/7/2025,"$112,460.00"
GENERAL SERVICES ADMINISTRATION,INDUSTRIAL BASE AND CLIMATE...,2/7/2025,"$1,718,129.00"
GENERAL SERVICES ADMINISTRATION,RENT BILL MANAGEMENT OCCUPA...,2/10/2025,"$4,051,940.00"
GENERAL SERVICES ADMINISTRATION,REAL ESTATE VALUATION SUPPO...,2/10/2025,"$1,401,960.00"
GENERAL SERVICES ADMINISTRATION,BPA CALL 3 FOR MARKETING AN...,2/10/2025,"$572,478.00"
GENERAL SERVICES ADMINISTRATION,GOVERNMENT-WIDE PROFESSIONA...,2/10/2025,"$14,035,082.00"
GENERAL SERVICES ADMINISTRATION,LOGINGOVS IDENTITY VERIFICA...,2/12/2025,"$5,389,840.00"
GENERAL SERVICES ADMINISTRATION,OASIS CONTRACT SUPPORT -- A...,2/12/2025,"$335,440.00"
GENERAL SERVICES ADMINISTRATION,MIA SUBSCRIPTION,2/12/2025,"$36,352.00"
GENERAL SERVICES ADMINISTRATION,THE PURCHASE IS FOR BLOOMBE...,2/12/2025,"$184,575.00"
GENERAL SERVICES ADMINISTRATION,COMMS CHG MNGMT AND USER AN...,2/13/2025,"$6,540,100.00"
GOVERNMENT ACCOUNTABILITY OFFICE,ENVIRONMENT & ENERGY ELECTR...,2/13/2025,"$197,669.00"
INSTITUTE OF MUSEUM AND LIBRARY SERVICES,THIS BLANKET PURCHASE AGREE...,2/3/2025,"$4,000,000.00"
INSTITUTE OF MUSEUM AND LIBRARY SERVICES,CONTRACTOR SUPPORT FOR THE ...,2/4/2025,$0.00
INSTITUTE OF MUSEUM AND LIBRARY SERVICES,EXTEND THE THREE IMLS LEARN...,2/4/2025,$0.00
MARINE MAMMAL COMMISSION,SEE FPDS,2/13/2025,SEE FPDS
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,POLITICO PRO AGREEMENT FOR ...,2/13/2025,$0.00
NATIONAL GALLERY OF ART,HARASSMENT PREVENTION & LGB...,2/12/2025,$0.00
NATIONAL LABOR RELATIONS BOARD,DEIA SUPPORT AND ONLINE POR...,1/27/2025,"$96,000.00"
NATIONAL LABOR RELATIONS BOARD,POLITICO PRO PREMIUM 5-WEB ...,2/13/2025,"$18,621.00"
NATIONAL SCIENCE FOUNDATION,RENEWAL SUBSCRIPTION E&E NEWS,2/10/2025,$0.00
NATIONAL SCIENCE FOUNDATION,"NSF DIVERSITY, EQUITY, INCL...",1/29/2025,"$750,000.00"
NUCLEAR REGULATORY COMMISSION,DIVERSITY AND INCLUSION SUP...,1/28/2025,"$446,631.00"
NUCLEAR REGULATORY COMMISSION,E&E ELECTRONIC NEWSLETTERS ...,2/10/2025,"$96,685.00"
OFFICE OF PERSONNEL MANAGEMENT,SERVICES IN SUPPORT OF THE ...,2/10/2025,$0.00
OFFICE OF PERSONNEL MANAGEMENT,OPM HRS TALENT ACQUISITION ...,1/28/2025,"$23,744,213.00"
OFFICE OF PERSONNEL MANAGEMENT,OPM HRS RB BPA CALL 28 IHS SFC,1/29/2025,"$2,141,855.00"
OFFICE OF PERSONNEL MANAGEMENT,ODEIA RECRUITMENT AND BRAND...,2/12/2025,"$1,773,141.00"
OFFICE OF PERSONNEL MANAGEMENT,SEE FPDS,2/13/2025,SEE FPDS
RAILROAD RETIREMENT BOARD,BASE YEAR DEIA DATA ANALYTI...,1/29/2025,$0.00
SECURITIES AND EXCHANGE COMMISSION,ACCESS TO POLITICO PRO US A...,2/7/2025,"$206,865.00"
SECURITIES AND EXCHANGE COMMISSION,OMWI DIVERSITY AND INCLUSIO...,2/6/2025,$0.00
SECURITIES AND EXCHANGE COMMISSION,ACCESS TO THOMSON REUTERS W...,2/13/2025,$0.00
SMALL BUSINESS ADMINISTRATION,EQUITY IN FEDERAL PROCUREME...,1/22/2025,$0.00
SMALL BUSINESS ADMINISTRATION,NEAL R GROSS-COURT REPORTIN...,2/12/2025,"$225,000.00"
SOCIAL SECURITY ADMINISTRATION,SSA SEEKS A CONTRACTOR TO C...,1/29/2025,"$109,224.00"
SOCIAL SECURITY ADMINISTRATION,ITSSC TASK ORDER FOR SYSTEMS,2/1/2025,"$231,864,794.00"
SOCIAL SECURITY ADMINISTRATION,SUSTAINABILITY CONSULTING S...,2/5/2025,"$33,823.00"
SOCIAL SECURITY ADMINISTRATION,FOUR (4) POLITICO PRO PLUS ...,2/13/2025,$0.00
SURFACE TRANSPORTATION BOARD,TO ESTABLISH A CONTRACT VIA...,2/14/2025,$0.00
SURFACE TRANSPORTATION BOARD,TO AWARD A TASK ORDER TO NU...,2/14/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,DEIA-M TRAINING SERVICES: C...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/BURMA DIVERSITY AND I...,2/12/2025,"$28,038,500.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW PSC TO SERVE AS A (DIVE...,2/12/2025,"$400,371.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"DIVERSITY, EQUITY, AND INCL...",2/12/2025,"$834,889.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW PSC TO SERVE AS A DEPUT...,2/12/2025,"$479,522.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS PERSONA...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW PSC TO SERVE AS A MANAG...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW PSC TO SERVE AS A SENIO...,2/12/2025,"$468,771.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SEE FPDS,2/12/2025,SEE FPDS
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS PROCUREMENT IS FOR COM...,1/27/2025,"$38,709,805.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THE GENDEV I...,1/28/2025,"$26,242,946.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE CLIMATE ADAPTATION SUPP...,1/28/2025,"$17,688,749.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE CONTRACTOR SHALL PROVID...,1/28/2025,"$62,661,223.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IPI/GEWE ENGENDERING INDUST...,1/28/2025,"$34,338,939.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"USAID LOCALIZATION, INCLUSI...",1/28/2025,"$33,250,258.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,UNITED STATES AGENCY FOR IN...,1/28/2025,"$40,499,731.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THE FEED THE...,1/31/2025,"$2,846,235.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS IS A ANNUAL SUBSCRIPTI...,2/5/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE CALL ORDER PERFORMANCE ...,2/12/2025,"$1,794,280.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE CCSDP IDIQ IS DESIGNED...,2/12/2025,"$3,781,849.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,REQUEST FOR SOLE SOURCE AWA...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/UZBEKISTAN - DEIA FEL...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SUPPORT SERVICES TO USAID A...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO PROCURE SERVICE TO CONDU...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO PROCURE ONE LOCAL FIRM T...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,DEIA BUY-IN TO M MAPS (RESO...,2/12/2025,"$3,814,930.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW CONTRACT RH USPSC DEIA ...,2/12/2025,"$585,020.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO ORGANIZE TWO EVENTS TO S...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO PURCHASE ORDER FOR A VEN...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO HIRE A CONTRACTOR TO PRO...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EXO/GDPI TABLES& CABINETS,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,STRENGTHENING UTILITIES AND...,2/12/2025,"$7,617,832.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS REQUISI...,2/12/2025,"$15,883,322.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"VERSION 1: COMMITTED $1,50...",2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EO14042 THE LEARNING AND OR...,2/12/2025,"$2,489,213.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EPIC IDEAS,2/12/2025,"$79,970,524.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FINANCIAL MANAGEMENT CONTRA...,2/12/2025,"$3,543,099.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,DIGITAL STRATEGY IMPLEMENTA...,2/12/2025,"$167,430,251.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF ADVANCING LE...,2/12/2025,"$61,929,203.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO PROVIDE COACHING AND TRA...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TASK ORDER (RFTOP) FOR CONT...,2/12/2025,"$13,984,179.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW M/OAA CLOSEOUT CONTRACT...,2/12/2025,"$8,192,903.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PROCUREMENT OF OVERSIGHT AU...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,CONSTRUCTION MANAGEMENT AND...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,ARCHITECT AND ENGINEERING S...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE AUTHORIZED AGENT IS REQ...,2/12/2025,$1.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TASK ORDER UNDER 7 A&E MISS...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO UTILIZE THE AIDRPA SYSTE...,2/12/2025,"$3,039,039.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS REQUEST...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS TASK OR...,2/12/2025,"$3,812,248.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IMPROVED WATER MANAGEMENT F...,2/12/2025,"$2,966,225.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID SECURING GEORGIA'S EN...,2/12/2025,"$2,080,256.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FURTHERING HEALTH REFORM AN...,2/12/2025,"$79,384,453.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,1. TO INCREASE TRANSPARENCY...,2/12/2025,"$5,500,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SUPPORT TO ELECTORAL INTEGR...,2/12/2025,"$2,459,465.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS PURCHAS...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,URJA NEPAL'S GOAL IS TO CRE...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FISCAL FEDERALISM REMAINS O...,2/12/2025,"$9,523,866.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$3,926,529.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"NEW ACTIVITY ""USAID IMPROVI...",2/12/2025,"$3,034,814.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/RDMA SOUTHEAST ASIA'S...,2/12/2025,"$8,213,100.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,ACQUISITION AND ASSISTANCE ...,2/12/2025,"$3,365,640.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS IS TO REQUEST THE OBLI...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO SUBCOMMIT FUNDS FOR THE ...,2/12/2025,"$6,720,937.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IGF::CL::IGF SOUTHERN AFRIC...,2/12/2025,"$6,322,604.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID SOUTHERN AFRICA MOBIL...,2/12/2025,"$11,166,963.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EMPOWERING SOUTHERN AFRICA ...,2/12/2025,"$62,492,569.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS ACTIVITY IS FOR PROCUR...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID SOUTHERN AFRICA RESIL...,2/12/2025,"$22,373,646.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/SENEGAL PUBLIC FINANC...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EBSCO SUBSCRIPTION FOR LIBR...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE ACTIVITY WILL INTRODUCE...,2/12/2025,"$1,596,028.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE EVALUATION OF THE PERFO...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SERBIA IMPROVING PUBLIC PRO...,2/12/2025,"$4,603,154.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS IS A NEW CONTRACT TO I...,2/12/2025,"$73,214,054.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PFM+T SRI LANKA AWARD,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS REQUISI...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO PAY FOR ONE YEAR SUBSCRI...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID KENYA AND EAST AFRICA...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,REQUEST TELEVISION FOR RESI...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,(FA20241353) PROCUREMENT OF...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"PROCUREMENT OF 18,660 BRAND...",2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EG: THE PURPOSE OF THIS TO2...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,ACQUIRE THE SERVICES OF A Q...,2/12/2025,"$239,595.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS ACTIVIT...,2/12/2025,"$150,704.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,ANNUAL SUBSCRIPTION TO THE ...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO REVISED THE AMOUNT OF FU...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,UNDER THIS FIVE (5) YEAR FI...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SUBSCRIPTION SERVICES (LEGI...,2/12/2025,"$79,682.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,GLOBAL EMPLOYEE ASSISTANCE ...,2/12/2025,"$32,592,162.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PROCUREMENT OF AUTOMATED EX...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,CURRENT CONTRACT: 7200AA18C...,2/12/2025,"$1,346,993.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE EXISTING CARPETING IN M...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS PURCHASE ORDER PROVIDE...,2/12/2025,"$10,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,LES NOUVELLES: SPACE PURCHA...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,L'EXPRESS: SPACE PURCHASE F...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,MAILROOM STAFF CONTRACT 2 B...,2/12/2025,"$809,717.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS IS AN 8(A) SOLE SOURCE...,2/12/2025,"$182,526.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IN ACCORDANCE WITH THIS PUR...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IN ACCORDANCE WITH THE TERM...,2/12/2025,"$220,672.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,RENEWAL OF ECONOMIST INTELL...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"GRACE BURTON, REFS/AA, ANNU...",2/12/2025,$0.00
